DATABASE_ID,DRUGBANK_ID,DRUG_GROUPS,GENERIC_NAME,SMILES
DB00250,DB00250,approved; investigational,Dapsone,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
DB00251,DB00251,approved,Terconazole,CC(C)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
DB00252,DB00252,approved; vet_approved,Phenytoin,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
DB00253,DB00253,approved,Medrysone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
DB00255,DB00255,approved; investigational; withdrawn,Diethylstilbestrol,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
DB00257,DB00257,approved; vet_approved,Clotrimazole,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
DB00259,DB00259,approved,Sulfanilamide,NC1=CC=C(C=C1)S(N)(=O)=O
DB00260,DB00260,approved,Cycloserine,N[C@@H]1CONC1=O
DB00261,DB00261,approved,Anagrelide,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
DB00262,DB00262,approved; investigational,Carmustine,ClCCNC(=O)N(CCCl)N=O
DB00263,DB00263,approved; vet_approved,Sulfisoxazole,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
DB00264,DB00264,approved; investigational,Metoprolol,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
DB00265,DB00265,approved,Crotamiton,CCN(C(=O)C=CC)C1=CC=CC=C1C
DB00266,DB00266,approved,Dicoumarol,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2
DB00267,DB00267,approved,Cefmenoxime,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
DB00268,DB00268,approved; investigational,Ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
DB00269,DB00269,investigational; withdrawn,Chlorotrianisene,COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1
